amenities,description,name,score
"Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Gimnasio / Sala de entrenamiento,Cadenas de televisión para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Solárium,Wifi,Piscina en la terraza,Sauna,Alquiler de autos,Salas de reuniones,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Terraza solárium,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitaciones insonorizadas,Caja fuerte,Instalaciones de habitación VIP,TV pantalla plana,Suite nupcial,Habitaciones para no fumadores,Habitaciones para familias","Si está de viaje de negocios o de placer en Buenos Aires, Argentina, nuestro hotel con servicio de primera, atención personalizada y su cercanía a los teatros y monumentos históricos más importantes de la ciudad, lo convierten en es su primera opción. Tiene 57 cómodas Habitaciones y elegantes Suites con camas inteligentes programables a su gusto. Terraza y Jacuzzi con vista panorámica, Business Center con salón ejecutivo para reuniones, gimnasio y sala de vapor, Lobby Bar, Room Service e Internet gratuito de alta velocidad. Restaurante Tepuy, es el sitio ideal para que nuestros huéspedes comiencen bien la jornada disfrutando de un delicioso desayuno. Todos los días ofrecemos un exquisito y variado buffet, de 6:30 am a 10:30 am. A la hora del almuerzo, el restaurante presenta a los comensales un atractivo menú a la carta.",Eurobuilding Hotel Boutique Buenos Aires,901.0
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Salas de reuniones,Seguridad las 24 horas,Almacenamiento de equipaje,Check-in las 24 horas,Garage de estacionamiento,Wifi,Vestuarios de gimnasio/spa,Bar/Salón,Restaurante,Desayuno bufet,Conserje,Muebles de exterior,Terraza solárium,Recepción disponible las 24 horas,Servicio de lavandería,Servicio de planchado,Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV por cable/satélite,Bidé,Habitaciones interconectadas disponibles,Caja fuerte,Teléfono,Guardarropa/Ropero,Estante para la ropa,Caja de seguridad para computadora portátil,Baños privados,Piso de azulejos/mármol,Servicio de despertador/Reloj despertador,TV pantalla plana,Bañera/Ducha,Productos de tocador de cortesía,Secador de pelo,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Huinid Obelisco está ubicado a metros de las principales atracciones turísticas y culturales, El Obelisco, Teatro Colon, Avenida Corrientes. Las habitaciones son modernas y elegantes con Smart Tv de 49 pulgadas y caja de seguridad con espacio para Laptop. El hotel cuenta con amplias zonas comunes donde relajarse además de un Roof Top Solarium, Wellness, Gimnasio, Lobby Bar y Restaurant.",Huinid Obelisco Hotel,250.0
"Garage de estacionamiento,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Salas de reuniones,Masaje,Terraza en la azotea,Wifi,Piscina en la terraza,Piscina al aire libre,Bar/Salón,Desayuno bufet,Desayuno en la habitación,Almacenamiento de equipaje,Conserje,Periódico,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitaciones insonorizadas,Aire acondicionado,Servicio de limpieza,Balcón privado,Servicio a la habitación,Minibar,Heladera,TV pantalla plana,Caja fuerte,Suite nupcial,Habitaciones para no fumadores,Suites","Dazzler Polo se encuentra en una de las zonas más atractivas y de mejor acceso de Buenos Aires. El hotel está enmarcado por amplios parques, embajadas e importantes avenidas que brindan gran variedad de opciones gastronómicas. Ubicado a pocos metros del Campo Argentino de Polo y del Hipódromo de Palermo ofrece 133 habitaciones all suites que combinan diseño y confort. Además, en el último piso cuenta con gimnasio, solarium y una piscina exterior climatizada con una vista única.",Dazzler by Wyndham Buenos Aires Polo,991.0
"Estacionamiento en la calle,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Patio,Sillitas altas disponibles,Transporte al aeropuerto,Instalaciones para conferencias,Almacenamiento de equipaje,Wifi,Bar/Salón,Cafetería,Desayuno disponible,Desayuno en la habitación,Bebida de bienvenida de cortesía,Bar de aperitivos,Servicio de taxi,Conserje,Hotel para no fumadores,Muebles de exterior,Check-in las 24 horas,Recepción disponible las 24 horas,Servicio de lavandería,Servicio de planchado,Habitación libre de alérgenos,Aire acondicionado,Servicio de limpieza,Balcón privado,Caja fuerte,Minibar,TV pantalla plana,Ducha a ras de suelo,Teléfono,Baños privados,Servicio de despertador/Reloj despertador,Productos de tocador de cortesía,Secador de pelo,Habitaciones para no fumadores,Suites",,Miravida Soho Hotel & Wine Bar,1.549
"Estacionamiento con servicio de valet,Internet gratuito,Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Billar,Tours a pie,Servicio de taxi,Estacionamiento privado pagado en el predio,Wifi,Wifi con cargo adicional,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina en la terraza,Piscina con vista,Piscina cubierta,Piscina al aire libre,Piscina climatizada,Vestuarios de gimnasio/spa,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno bufet,Desayuno en la habitación,Bufé apto para niños,Bar de aperitivos,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Spa,Masaje en pareja,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje,Solárium,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitaciones insonorizadas,Aire acondicionado,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Minibar,TV pantalla plana,Instalaciones de habitación VIP,Caja de seguridad para computadora portátil,Servicio de despertador/Reloj despertador,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","Durante el diseño de Hotel Madero, buscamos reflejar todo el estilo y la sofisticación de Puerto Madero, logrando así un lugar donde las personas quieren estar, se encuentran cómodas y pueden sentirse como en su hogar.La idea era diseñar un hotel en Buenos Aires con ambiente propio, generando una rica arquitectura de interiores, a través de una manera sugestiva de iluminación y la combinación de materiales y texturas, de manera que cada uno de los espacios tuviera su propia identidad. La elección del arte contemporáneo es también muy significativa, incorporando diversas pinturas y esculturas, en su mayoría de artistas locales.",Hotel Madero,2.746
"Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Desayuno gratis,Se admiten mascotas ( Se aceptan perros / mascotas ),Transporte al aeropuerto,Terraza en la azotea,Almacenamiento de equipaje,Recepción disponible las 24 horas,Wifi,Bar/Salón,Servicio de taxi,Conserje,Hotel para no fumadores,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites",,Rendez Vous Hotel Buenos Aires,1.666
"Internet gratuito,Wifi,Desayuno disponible,Desayuno bufet,Conserje,Hotel para no fumadores,Check-in las 24 horas,Recepción disponible las 24 horas,Wifi con cargo adicional,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,Minibar,TV por cable/satélite,TV pantalla plana,Bañera/Ducha,Productos de tocador de cortesía,Habitaciones para no fumadores","Unique Art Madero se encuentra situado en Puerto Madero, distinguido barrio turístico de la Ciudad de Buenos Aires, cercano al casino flotante, los restaurantes más prestigiosos de la zona y múltiples galerías de arte. Se encuentra también próximo al barrio de San Telmo, sus peatonales y casco antiguo. Con excelente acceso a los aeropuertos nacional e internacional y al Puerto de Buenos Aires. El hotel combina diseño y modernidad en todas sus instalaciones. Ofrece servicio de desayuno y habitaciones luminosas y amplias. Las mismas cuentan con TV LCD por cable, teléfono, aire acondicionado frío/calor individual, baño con bañera, secador de cabello y kit de baño, cofre de seguridad, minibar y acceso a Internet de alta velocidad.",Believe Madero Hotel,1.2530000000000001
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Playa,Muebles de exterior,Sombrillas,Recepción disponible las 24 horas,Wifi,Bañera de hidromasaje,Piscina con vista,Restaurante,Desayuno bufet,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Minibar,Heladera,Bañera/Ducha,Habitaciones para no fumadores,Suites",,Anau Pousada,83.0
"Internet de alta velocidad gratuito (WiFi),Wifi,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Aire acondicionado,Caja fuerte,Teléfono,Minibar,Heladera,TV pantalla plana,Habitaciones para no fumadores",,Up Recoleta Hotel,454.0
"Garage de estacionamiento,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Terraza en la azotea,Wifi,Desayuno bufet,Salón de banquetes,Salas de reuniones,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Teléfono,Microondas,Minibar,Heladera,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Up Tribeca,571.0
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garage de estacionamiento,Wifi,Toallas para la piscina/playa,Piscina cubierta,Piscina climatizada,Sauna,Bar/Salón,Restaurante,Desayuno bufet,Comidas para niños,Menús para dietas especiales,Salón de banquetes,Salas de reuniones,Masaje,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitación libre de alérgenos,Habitaciones insonorizadas,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Heladera,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Loi Suites Recoleta Hotel,1.139
"Internet de alta velocidad gratuito (WiFi),Wifi,Bar/Salón,Desayuno disponible,Almacenamiento de equipaje,Cambio de divisas,Hotel para no fumadores,Recepción disponible las 24 horas,Desayuno bufet,Sala de estar o con TV compartida,Aire acondicionado,Habitaciones para no fumadores,Suites,Habitaciones para familias","Ubicado estratégicamente en el corazón de San Telmo - Buenos Aires, en Circus hostel&hotel combinamos bajos precios para crear un hostel con la infraestructura de un hotel boutique Nuestras habitaciones fueron creadas para descansar en paz, desde todas las habitaciones tiene una vista fantástica al barrio de San TelmoNuestro desayuno incluye, medialunas, tostadas con diferentes dulces, jugo de naranja exprimido, café con leche y té",Circus Hostel & Hotel,1.979
"Estacionamiento público pagado cercano,Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Servicio de lavandería,Wifi con cargo adicional,Desayuno bufet,Aire acondicionado,Caja fuerte,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites",,Gran Hotel Argentino,1.153
"Estacionamiento privado pagado cercano,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Club nocturno/DJ,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Wifi,Bañera de hidromasaje,Piscina al aire libre,Vestuarios de gimnasio/spa,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bebida de bienvenida de cortesía,Bar de aperitivos,Servicio de taxi,Salón de banquetes,Salas de reuniones,Spa,Masaje,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Periódico,Portero,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Batas de baño,Aire acondicionado,Escritorio,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Bañera/Ducha,Teléfono,Servicio de despertador/Reloj despertador,Películas a pedido,Habitaciones para no fumadores,Suites,Habitaciones para familias","Ubicado en el corazón del Barrio de La Recoleta lo invitamos a disfrutar de nuestro lujoso hotel boutique, acompañado por las mejores propuestas gastronómicas y la experiencia de sentir el lugar donde vivió Evita Perón.",Melia Recoleta Plaza,1.117
"Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Bar/Salón,Almacenamiento de equipaje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Garage de estacionamiento,Wifi,Restaurante,Desayuno bufet,Bar de aperitivos,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites",,Hotel Ibis Buenos Aires Obelisco,3.93
"Estacionamiento con servicio de valet,Internet gratuito,Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Estacionamiento privado pagado en el predio,Wifi,Wifi con cargo adicional,Toallas para la piscina/playa,Piscina en la terraza,Piscina al aire libre,Piscina climatizada,Vestuarios de gimnasio/spa,Sauna,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bufé apto para niños,Bar de aperitivos,Bar en la terraza,Alquiler de autos,Servicio de taxi,Salón de banquetes,Salas de reuniones,Spa,Tratamientos faciales,Masaje de cuerpo completo,Masaje,Salón de belleza,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Tienda de regalos,Hotel para no fumadores,Tiendas,Terraza solárium,Cajero automático en el lugar,Portero,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Check-in y check-out privado,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Habitaciones interconectadas disponibles,Servicio a la habitación,Caja fuerte,Minibar,Heladera,TV pantalla plana,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Hilton Buenos Aires,4.664
